1 1 1.104 gauss  2.0 0    9.8 .002
2 0 0.963 gauss  2.0 0   14.7 .002
3 1 1.245 gauss  2.0 0   19.6 .002
4 0 1.007 gauss  2.0 0   24.5 .002
5 1 0.961 gauss  2.0 0   29.4 .002
6 0 1.074 gauss  2.0 0   34.3 .002
7 1 1.104 gauss  2.0 0   39.2 .002
8 0 1.167 gauss  2.0 0   44.1 .002
9 1 1.152 gauss  2.0 0   49.0 .002
10 0 1.035 gauss  2.0 0   53.9 .002
11 1 1.089 gauss  2.0 0   58.8 .002
12 0 0.901 gauss  2.0 0   63.7 .002
13 1 1.054 gauss  2.0 0   68.6 .002
14 0 0.999 gauss  2.0 0   73.5 .002
15 1 1.017 gauss  2.0 0   78.4 .002
16 0 0.930 gauss  2.0 0   83.3 .002
17 1 0.821 gauss  2.0 0   88.2 .002
18 0 0.903 gauss  2.0 0   93.1 .002
19 1 0.957 gauss  2.0 0   98.0 .002
20 0 1.004 gauss  2.0 0  102.9 .002
21 1 0.777 gauss  2.0 0  107.8 .002
22 0 0.978 gauss  2.0 0  112.7 .002
23 1 0.820 gauss  2.0 0  117.6 .002
24 0 0.902 gauss  2.0 0  122.5 .002
25 1 0.825 gauss  2.0 0  127.4 .002
26 0 0.975 gauss  2.0 0  132.3 .002
27 1 1.121 gauss  2.0 0  137.2 .002
28 0 1.158 gauss  2.0 0  142.1 .002
29 1 0.782 gauss  2.0 0  147.0 .002
30 0 0.956 gauss  2.0 0  151.9 .002
31 1 0.994 gauss  2.0 0  156.8 .002
32 0 1.020 gauss  2.0 0  161.7 .002
33 1 0.817 gauss  2.0 0  166.6 .002
34 0 0.786 gauss  2.0 0  171.5 .002
35 1 1.227 gauss  2.0 0  176.4 .002
36 0 0.863 gauss  2.0 0  181.3 .002
37 1 0.914 gauss  2.0 0  186.2 .002
38 0 1.154 gauss  2.0 0  191.1 .002
39 1 0.878 gauss  2.0 0  196.0 .002
40 0 1.044 gauss  2.0 0  200.9 .002
41 1 1.034 gauss  2.0 0  205.8 .002
42 0 0.756 gauss  2.0 0  210.7 .002
43 1 0.773 gauss  2.0 0  215.6 .002
44 0 0.933 gauss  2.0 0  220.5 .002
45 1 0.888 gauss  2.0 0  225.4 .002
46 0 0.990 gauss  2.0 0  230.3 .002
47 1 0.920 gauss  2.0 0  235.2 .002
48 0 1.113 gauss  2.0 0  240.1 .002
49 1 1.010 gauss  2.0 0  245.0 .002
50 0 0.767 gauss  2.0 0  249.9 .002
51 1 1.146 gauss  2.0 0  254.8 .002
52 0 0.962 gauss  2.0 0  259.7 .002
53 1 1.030 gauss  2.0 0  264.6 .002
54 0 0.812 gauss  2.0 0  269.5 .002
55 1 1.001 gauss  2.0 0  274.4 .002
56 0 1.126 gauss  2.0 0  279.3 .002
57 1 0.845 gauss  2.0 0  284.2 .002
58 0 1.050 gauss  2.0 0  289.1 .002
59 1 1.221 gauss  2.0 0  294.0 .002
60 0 1.103 gauss  2.0 0  298.9 .002
61 1 1.079 gauss  2.0 0  303.8 .002
62 0 0.944 gauss  2.0 0  308.7 .002
63 1 0.810 gauss  2.0 0  313.6 .002
64 0 0.922 gauss  2.0 0  318.5 .002
65 1 1.039 gauss  2.0 0  323.4 .002
66 0 0.892 gauss  2.0 0  328.3 .002
67 1 1.021 gauss  2.0 0  333.2 .002
68 0 1.160 gauss  2.0 0  338.1 .002
69 1 1.053 gauss  2.0 0  343.0 .002
70 0 1.043 gauss  2.0 0  347.9 .002
71 1 0.794 gauss  2.0 0  352.8 .002
72 0 0.777 gauss  2.0 0  357.7 .002
73 1 0.890 gauss  2.0 0  362.6 .002
74 0 1.143 gauss  2.0 0  367.5 .002
75 1 0.945 gauss  2.0 0  372.4 .002
76 0 0.994 gauss  2.0 0  377.3 .002
77 1 1.174 gauss  2.0 0  382.2 .002
78 0 0.766 gauss  2.0 0  387.1 .002
79 1 1.157 gauss  2.0 0  392.0 .002
80 0 1.219 gauss  2.0 0  396.9 .002
81 1 0.951 gauss  2.0 0  401.8 .002
82 0 1.044 gauss  2.0 0  406.7 .002
83 1 1.054 gauss  2.0 0  411.6 .002
84 0 1.236 gauss  2.0 0  416.5 .002
85 1 0.862 gauss  2.0 0  421.4 .002
86 0 0.755 gauss  2.0 0  426.3 .002
87 1 0.933 gauss  2.0 0  431.2 .002
88 0 1.149 gauss  2.0 0  436.1 .002
89 1 1.053 gauss  2.0 0  441.0 .002
90 0 0.870 gauss  2.0 0  445.9 .002
91 1 0.920 gauss  2.0 0  450.8 .002
92 0 0.820 gauss  2.0 0  455.7 .002
93 1 0.786 gauss  2.0 0  460.6 .002
94 0 0.934 gauss  2.0 0  465.5 .002
95 1 1.117 gauss  2.0 0  470.4 .002
96 0 0.776 gauss  2.0 0  475.3 .002
97 1 0.887 gauss  2.0 0  480.2 .002
98 0 0.876 gauss  2.0 0  485.1 .002
99 1 1.037 gauss  2.0 0  490.0 .002
100 0 0.824 gauss  2.0 0  494.9 .002
101 1 0.979 gauss  2.0 0  499.8 .002
102 0 1.112 gauss  2.0 0  504.7 .002
103 1 0.856 gauss  2.0 0  509.6 .002
104 0 0.864 gauss  2.0 0  514.5 .002
105 1 1.154 gauss  2.0 0  519.4 .002
106 0 1.060 gauss  2.0 0  524.3 .002
107 1 0.800 gauss  2.0 0  529.2 .002
108 0 1.121 gauss  2.0 0  534.1 .002
109 1 1.017 gauss  2.0 0  539.0 .002
110 0 0.905 gauss  2.0 0  543.9 .002
111 1 1.203 gauss  2.0 0  548.8 .002
112 0 0.795 gauss  2.0 0  553.7 .002
113 1 0.770 gauss  2.0 0  558.6 .002
114 0 1.246 gauss  2.0 0  563.5 .002
