# Declare the ARNICA JHK standards catalog variables

    AS01-0 10.716  0.005 10.507  0.010 10.470  0.003
    AS02-0  8.775  0.006  8.771  0.012  8.770  0.009
    AS03-0 12.606  0.011 12.729  0.008 12.827  0.013
    AS04-0 10.555  0.004 10.301  0.005 10.277  0.006
    AS04-1 12.371  0.021 12.033  0.020 11.962  0.025
    AS05-0 13.232  0.009 13.314  0.007 13.381  0.010
    AS05-1 14.350  0.013 13.663  0.011 13.507  0.009
    AS06-0  8.713  0.010  8.694  0.014  8.674  0.010
    AS07-0 11.105  0.013 10.977  0.009 10.946  0.010
    AS08-0  8.744  0.011  8.723  0.014  8.697  0.012
    AS08-1  8.772  0.011  7.836  0.018  7.570  0.017
    AS08-2  9.728  0.011  9.121  0.015  8.995  0.016
    AS09-0  8.432  0.012  8.380  0.014  8.340  0.011
    AS09-1 11.546  0.015 10.923  0.016 10.730  0.015
    AS10-0 11.349  0.011 11.281  0.009 11.259  0.006
    AS11-0  9.151  0.009  9.181  0.010  9.183  0.011
    AS11-1 11.299  0.009 10.342  0.015 10.051  0.008
    AS12-0 13.700  0.018 13.812  0.015 13.884  0.011
    AS12-1 11.241  0.007 10.931  0.018 10.866  0.020
    AS13-0 10.517  0.005 10.189  0.005 10.137  0.005
    AS13-1 12.201  0.019 11.781  0.007 11.648  0.009
    AS13-2 12.521  0.008 12.101  0.005 11.970  0.006
    AS13-3 13.345  0.015 12.964  0.017 12.812  0.012
    AS14-0  8.688  0.013  8.623  0.014  8.590  0.007
    AS14-1  9.871  0.015  9.801  0.015  9.755  0.011
    AS15-0 10.874  0.007 10.669  0.010 10.628  0.008
    AS15-1 12.656  0.011 11.980  0.010 11.792  0.011
    AS15-2 13.711  0.014 12.927  0.017 12.719  0.012
    AS15-3 14.320  0.015 13.667  0.017 13.415  0.015
    AS16-0 14.159  0.021 14.111  0.011 14.305  0.017
    AS16-1 13.761  0.020 13.638  0.005 13.606  0.021
    AS16-2 11.411  0.010 11.428  0.017 11.445  0.008
    AS16-3 13.891  0.012 13.855  0.011 13.818  0.011
    AS16-4 11.402  0.015 11.106  0.019 11.043  0.009
    AS17-0 14.353  0.012 14.039  0.015 13.983  0.016
    AS17-1 12.434  0.009 12.077  0.012 12.027  0.017
    AS17-2 14.745  0.012 14.124  0.012 13.871  0.016
    AS17-3 13.077  0.007 12.782  0.010 12.706  0.006
    AS17-4 14.459  0.018 13.795  0.014 13.430  0.018
    AS18-0 12.741  0.008 12.402  0.004 12.338  0.013
    AS18-1 10.769  0.024 10.614  0.014 10.575  0.014
    AS19-0 12.670  0.014 12.334  0.013 12.263  0.004
    AS19-1 10.095  0.017  9.794  0.013  9.746  0.010
    AS19-2 12.745  0.019 12.488  0.024 12.437  0.012
    AS20-0  9.551  0.012  9.519  0.007  9.497  0.015
    AS21-0  9.061  0.007  9.043  0.015  9.031  0.007
    AS22-0 12.966  0.005 13.038  0.010 13.158  0.007
    AS23-0  8.889  0.010  8.847  0.009  8.828  0.010
    AS24-0  9.398  0.009  9.345  0.009  9.338  0.010
    AS25-0 14.029  0.008 14.134  0.010 14.195  0.009
    AS26-0 13.000  0.015 12.455  0.012 12.379  0.010
    AS26-1 12.120  0.016 11.527  0.016 11.428  0.016
    AS27-0 10.910  0.015 10.781  0.007 10.761  0.010
    AS27-1 12.991  0.015 12.677  0.024 12.608  0.019
    AS28-0  8.455  0.010  8.378  0.014  8.372  0.008
    AS29-0 10.234  0.005  9.842  0.013  9.760  0.009
    AS29-1 13.904  0.017 13.566  0.019 13.503  0.020
    AS30-0 13.505  0.004 13.197  0.011 13.141  0.014
    AS30-1 12.497  0.017 12.157  0.011 12.175  0.021
    AS31-0 10.744  0.008 10.644  0.005 10.602  0.004
    AS31-1 12.504  0.010 12.131  0.011 12.048  0.007
    AS31-2 13.290  0.009 12.633  0.011 12.476  0.010
    AS32-0  8.017  0.018  7.917  0.012  7.925  0.014
    AS33-0 12.220  0.004 11.834  0.005 11.739  0.009
    AS33-1 13.180  0.009 12.477  0.004 12.343  0.008
    AS33-2 13.724  0.024 13.271  0.023 13.168  0.014
    AS34-0  8.443  0.019  8.434  0.003  8.436  0.019
    AS35-0  8.625  0.009  8.544  0.011  8.524  0.006
    AS36-0 13.168  0.013 13.242  0.007 13.301  0.007
    AS36-1 13.538  0.028 13.049  0.012 12.960  0.014
    AS36-2 14.246  0.014 13.847  0.014 13.737  0.008
    AS36-3 14.165  0.004 13.607  0.009 13.333  0.022
    AS36-4 15.312  0.008 14.769  0.006 14.514  0.022
    AS37-0  8.669  0.017  8.678  0.009  8.635  0.009
    AS37-1 11.020  0.026 10.516  0.014 10.399  0.011
    AS38-0 11.932  0.006 11.988  0.009 12.027  0.010
    AS38-1 12.994  0.004 12.657  0.012 12.588  0.020
    AS38-2 11.355  0.023 11.026  0.014 10.991  0.013
    AS39-0 13.808  0.008 13.929  0.002 14.011  0.009
    AS39-1 15.033  0.022 14.333  0.004 14.045  0.018
    AS40-0 11.051  0.013 10.408  0.013 10.240  0.013
    AS40-1 11.900  0.012 11.097  0.011 10.861  0.008
    AS40-2 11.477  0.018 10.569  0.014 10.314  0.018
    AS40-3 10.578  0.015  9.966  0.011  9.785  0.008
    AS40-4 10.356  0.015  9.695  0.008  9.516  0.007
    AS40-5  9.488  0.013  9.418  0.007  9.405  0.008
