  HD225023  6.960  0.010  0.105  0.010  0.025  0.010  INDEF  INDEF     A0  b
   G158-27  7.430  0.010  0.875  0.010  0.325  0.010  INDEF  INDEF      M  b
    HD1160  7.040  0.007  0.015  0.007  0.005  0.007  0.015  0.010     A0  a
    HD2811  7.065  0.005  0.105  0.005  0.025  0.005  0.025  0.007     A2  a+
    HD3029  7.090  0.010  0.160  0.010  0.030  0.010  INDEF  INDEF     A3  b
     HR696  5.440  0.007  0.145  0.007  0.055  0.007  INDEF  INDEF   B2Ia  a
     HR718  4.390  0.007 -0.025  0.007 -0.010  0.007 -0.025  0.010  B9III  a
   Gl105.5  6.525  0.007  0.715  0.007  0.110  0.007  0.065  0.010    M0V  a
   HD18881  7.140  0.015 -0.015  0.015 -0.010  0.015  INDEF  INDEF     A0  c
   HD19904  6.640  0.005  0.080  0.005  0.020  0.005  0.020  0.007     A2  a+
    G77-31  7.840  0.010  0.900  0.010  0.320  0.010  0.290  0.015      M  b
   HD22686  7.185  0.007  0.010  0.007  0.005  0.007 -0.010  0.010     A0  a
    HR1552  4.140  0.007 -0.100  0.007 -0.045  0.007 -0.025  0.010  B2III  a
   HD38921  7.535  0.005  0.035  0.005  0.015  0.005  0.010  0.007     A0  a+
   HD40335  6.450  0.007  0.090  0.007  0.020  0.007  0.035  0.010     A0  a
   HD44612  7.040  0.015  0.020  0.015 -0.005  0.015  INDEF  INDEF     A0  c
 BD+0_1694  4.585  0.005  1.055  0.005  0.225  0.005  0.170  0.007      ?  a+
     Gl299  7.640  0.005  0.740  0.005  0.275  0.005  0.280  0.007    M5V  a+
   HD75223  7.280  0.005  0.045  0.005  0.015  0.005  0.020  0.007     A0  a+
   HD77281  7.030  0.005  0.075  0.005  0.020  0.005  0.035  0.007     A2  a+
    Gl347a  7.630  0.010  0.780  0.010  0.230  0.010  0.205  0.015     M5  b
   HD84800  7.530  0.015  0.030  0.015  0.000  0.015  INDEF  INDEF     A2  c
    HR3888  2.990  0.007  0.145  0.007  0.030  0.007  INDEF  INDEF   F2IV  a
     Gl390  6.045  0.007  0.825  0.007  0.205  0.007  0.165  0.010    M0V  a
     Gl406  6.080  0.010  0.980  0.010  0.360  0.010  0.350  0.015    M8V  b
  HD101452  6.845  0.005  0.160  0.005  0.040  0.005  0.035  0.007     A2  a+
    HR4550  4.385  0.007  0.485  0.007  0.070  0.007  0.045  0.010    G8V  a
  HD105601  6.685  0.015  0.125  0.015  0.030  0.015  INDEF  INDEF     A2  c
  HD106965  7.315  0.005  0.060  0.005  0.020  0.005  0.020  0.007     A2  a+
    HR4689  3.765  0.007  0.025  0.007  0.010  0.007  0.010  0.010   A2IV  a
    HR5447  3.485  0.007  0.195  0.007  0.025  0.007  0.050  0.010    F2V  a
  HD129653  6.920  0.007  0.060  0.007  0.020  0.007  INDEF  INDEF     A2  a
  HD129655  6.690  0.007  0.125  0.007  0.030  0.007  0.025  0.010     A2  a
  HD130163  6.835  0.007  0.020  0.007  0.010  0.007  0.025  0.010     A0  a
 BD+3_2954  4.805  0.010  1.035  0.010  0.190  0.010  0.155  0.015     M0  b
  HD136754  7.135  0.010  0.015  0.010 -0.005  0.010  INDEF  0.000     A0  b
 BD+2_2957  4.245  0.010  0.955  0.010  0.180  0.010  0.150  0.015     K2  b
    HR6092  4.300  0.007 -0.100  0.007 -0.035  0.007  INDEF  INDEF   B5IV  a
      S_R3  6.520  0.015  1.185  0.015  0.445  0.015  INDEF  INDEF   [A0]  c
    Oph_S1  6.330  0.015  2.470  0.015  0.940  0.015  0.560  0.020  [B-A]  c
    HR6136  2.020  0.007  0.810  0.007  0.140  0.007  0.150  0.010  K4III  a
  HD161743  7.615  0.005  0.005  0.005  0.005  0.005  0.010  0.007     A0  a+
  HD161903  7.020  0.007  0.150  0.007  0.035  0.007  0.035  0.010     A2  a
  HD162208  7.110  0.010  0.105  0.010  0.035  0.010  INDEF  INDEF     A0  b
    HR6707  3.205  0.007  0.245  0.007  0.040  0.007  INDEF  INDEF   F2IV  a
     Gl748  6.305  0.015  0.770  0.015  0.240  0.015  INDEF  INDEF    M4V  c
    HR7615  1.630  0.007  0.525  0.007  0.070  0.007  0.110  0.010  K0III  a
   Gl811.1  6.930  0.015  0.825  0.015  0.220  0.015  0.190  0.020    M4V  c
  HD201941  6.625  0.007  0.075  0.007  0.015  0.007  0.015  0.010     A2  a
    HR8143  3.795  0.007  0.075  0.007  0.030  0.007  0.085  0.010   B9Ia  a
  HD203856  6.860  0.010  0.065  0.010  0.020  0.010  INDEF  INDEF     A0  b
  HD205772  7.655  0.005  0.110  0.005  0.030  0.005  0.020  0.007     A3 a+
    HR8541  4.250  0.007  0.050  0.007  0.015  0.007  0.020  0.010   B9Ia  a
    HR8551  2.295  0.007  0.610  0.007  0.075  0.007  0.075  0.010  K0III  a
  M15_I-12  9.420  0.000  0.770  0.000  0.130  0.000  INDEF  INDEF      ?  i
 M15_II-29 10.300  0.000  0.730  0.000  0.130  0.000  INDEF  INDEF      ?  i
 M15_II-64 10.570  0.000  0.690  0.000  0.140  0.000  INDEF  INDEF      ?  i
 M15_II-75  9.920  0.000  0.730  0.000  0.110  0.000  INDEF  INDEF      ?  i
