      315   0:06:59  -02:37:52   6.440 -0.145 -0.497 -0.037 -0.064 -0.101   4   3  0.007 0.007 0.004 0.004 0.005 0.007   
     2892   0:31:26   01:06:13   9.366  1.321  1.409  0.692  0.625  1.319  15  10  0.004 0.004 0.005 0.002 0.003 0.002   
  -15_115   0:37:36  -15:04:51  10.881 -0.190 -0.860 -0.095 -0.103 -0.198  11   8  0.006 0.004 0.006 0.003 0.008 0.008   
  -12_134   0:46:19  -11:57:32  11.775 -0.294 -1.329 -0.088 -0.078 -0.161  12   8  0.005 0.004 0.009 0.004 0.010 0.007   1
  -11_162   0:51:30  -10:44:49  11.190 -0.081 -1.138  0.050  0.095  0.144  10   7  0.008 0.005 0.006 0.005 0.003 0.006   
   92_336   0:54:16   00:42:36   8.046  0.985  0.815  0.518  0.465  0.984  16  10  0.002 0.002 0.003 0.001 0.004 0.005   
   92_342   0:54:24   00:38:22  11.616  0.435 -0.040  0.264  0.272  0.536  22  12  0.002 0.002 0.004 0.002 0.002 0.002   
   92_263   0:54:54   00:31:26  11.784  1.048  0.846  0.564  0.520  1.085  23  12  0.005 0.003 0.006 0.002 0.002 0.003   2
     5505   0:56:05   01:36:00   9.001  1.078  0.955  0.553  0.502  1.056  12   8  0.003 0.004 0.005 0.001 0.003 0.003   
   92_288   0:56:31   00:31:55  11.631  0.857  0.473  0.489  0.441  0.931  23  12  0.003 0.004 0.004 0.003 0.002 0.002   
     F_11   1:03:30   04:09:15  12.061 -0.236 -0.978 -0.119 -0.141 -0.260  24  12  0.002 0.002 0.003 0.002 0.004 0.004   
   93_103   1:52:35   00:18:50   8.831  1.161  1.157  0.585  0.518  1.104  18  11  0.003 0.003 0.005 0.003 0.002 0.003   
     F_16   1:53:51  -06:50:42  12.405 -0.010  0.015 -0.009  0.004 -0.001  25  13  0.002 0.002 0.008 0.005 0.004 0.004   
   93_317   1:53:52   00:38:36  11.547  0.489 -0.053  0.293  0.296  0.589  20  11  0.001 0.002 0.003 0.002 0.001 0.001   
   93_326   1:54:04   00:42:40   9.569  0.454 -0.039  0.263  0.265  0.528  24  14  0.002 0.003 0.004 0.003 0.003 0.003   
   93_332   1:54:17   00:35:48   9.789  0.518 -0.024  0.296  0.306  0.602  18  11  0.004 0.004 0.005 0.003 0.002 0.003   
   93_333   1:54:19   00:41:20  12.006  0.829  0.434  0.469  0.421  0.891  20  10  0.002 0.003 0.004 0.002 0.002 0.003   
   93_241   1:54:33   00:32:08   9.400  0.853  0.425  0.463  0.453  0.916  24  14  0.002 0.003 0.005 0.001 0.002 0.002   
   93_424   1:54:40   00:52:19  11.620  1.084  0.945  0.553  0.504  1.059  20  10  0.002 0.004 0.006 0.001 0.002 0.001   
    11983   1:56:47  -07:36:11   8.192  1.512  1.884  0.807  0.746  1.554  22  14  0.005 0.006 0.010 0.006 0.003 0.005   
    12021   1:57:10  -02:10:37   8.874 -0.082 -0.404 -0.042 -0.056 -0.098  22  14  0.002 0.004 0.003 0.002 0.003 0.003   
     F_22   2:29:32   05:12:19  12.798 -0.055 -0.816 -0.105 -0.101 -0.201  26  16  0.003 0.004 0.006 0.004 0.005 0.005   
     F_24   2:34:19   03:40:10  12.409 -0.199 -1.172  0.092  0.362  0.450  26  16  0.004 0.002 0.008 0.003 0.004 0.005   
    16581   2:38:46   01:17:26   8.195 -0.057 -0.305 -0.025 -0.038 -0.063  21  15  0.004 0.004 0.003 0.002 0.002 0.003   
   -0_454   2:55:09   00:27:24   8.895  1.426  1.579  0.758  0.686  1.445  20  12  0.003 0.003 0.008 0.002 0.002 0.002   
   94_305   2:55:10   00:27:20   8.889  1.423  1.586  0.757  0.685  1.443  17  10  0.005 0.005 0.007 0.003 0.001 0.004   
   94_308   2:55:28   00:27:41   8.743  0.494 -0.004  0.290  0.287  0.576  22  15  0.002 0.002 0.004 0.002 0.002 0.002   
   94_242   2:56:36   00:15:02  11.730  0.307  0.095  0.177  0.186  0.362  19  12  0.002 0.002 0.003 0.002 0.002 0.003   
   -2_524   2:56:54  -02:03:26  10.307 -0.104 -0.641 -0.050 -0.062 -0.111  24  16  0.003 0.004 0.004 0.002 0.003 0.004   
   94_251   2:57:01   00:12:28  11.203  1.218  1.275  0.656  0.586  1.243  19  12  0.002 0.002 0.005 0.002 0.001 0.002   
   94_702   2:57:27   01:07:18  11.595  1.416  1.614  0.758  0.672  1.431  19  12  0.002 0.003 0.008 0.002 0.002 0.002   
   94_342   2:57:43   00:22:39   9.041  0.993  0.716  0.527  0.488  1.015  18  12  0.002 0.003 0.005 0.002 0.001 0.002   
    21197   3:24:18  -05:23:14   7.866  1.150  1.141  0.686  0.558  1.246  24  15  0.005 0.005 0.003 0.002 0.002 0.003   
   95_301   3:51:55   00:28:39  11.219  1.285  1.298  0.692  0.622  1.313  21  14  0.004 0.002 0.006 0.003 0.001 0.003   
    95_96   3:52:08  -00:02:21  10.014  0.147  0.068  0.079  0.093  0.172  45  31  0.003 0.002 0.004 0.001 0.002 0.002   
    95_52   3:53:28  -00:10:58   9.574  0.529  0.069  0.307  0.304  0.611  23  14  0.003 0.003 0.003 0.002 0.002 0.002   
   95_206   3:53:30   00:14:44   8.737  0.502  0.015  0.290  0.285  0.575  21  13  0.002 0.002 0.004 0.002 0.001 0.002   
   95_132   3:54:05   00:02:44  12.062  0.449  0.302  0.259  0.289  0.546  19  13  0.003 0.003 0.009 0.002 0.003 0.003   
    95_74   3:54:45  -00:11:49  11.529  1.127  0.702  0.598  0.566  1.163  17  12  0.002 0.002 0.007 0.002 0.002 0.002   
   95_236   3:55:27   00:06:08  11.492  0.735  0.169  0.421  0.412  0.832  16  12  0.001 0.003 0.006 0.002 0.001 0.002   
   96_180   4:50:55  -00:06:44   8.930  1.049  0.841  0.548  0.504  1.051  20  12  0.003 0.001 0.005 0.001 0.002 0.002   
    96_36   4:50:57  -00:11:41  10.589  0.250  0.111  0.133  0.137  0.270  19  10  0.002 0.002 0.005 0.001 0.001 0.002   
   96_393   4:51:44   00:00:39   9.652  0.598  0.042  0.345  0.343  0.687  18  11  0.002 0.003 0.005 0.002 0.003 0.003   
   96_737   4:51:49   00:21:01  11.718  1.331  1.173  0.736  0.698  1.433  19  10  0.003 0.003 0.009 0.002 0.001 0.002   
   96_406   4:52:04   00:05:36   9.300  0.220  0.148  0.116  0.121  0.237  20  12  0.002 0.002 0.005 0.002 0.002 0.002   
    96_83   4:52:13  -00:16:11  11.721  0.181  0.197  0.090  0.100  0.189  24  13  0.002 0.002 0.007 0.003 0.003 0.004   
   96_235   4:52:33  -00:06:31  11.139  1.072  0.900  0.558  0.510  1.068  19  10  0.002 0.002 0.005 0.002 0.001 0.001   
    36395   5:30:36  -03:36:56   7.960  1.474  1.231  0.985  1.095  2.076  28  18  0.005 0.005 0.005 0.002 0.002 0.003   
    GD_71   5:51:34   15:53:11  13.027 -0.255 -1.099 -0.141 -0.168 -0.305  24  13  0.003 0.005 0.008 0.004 0.008 0.007   
   97_249   5:56:22   00:01:07  11.735  0.651  0.098  0.366  0.353  0.719  13   7  0.004 0.003 0.007 0.001 0.001 0.002   
   97_346   5:56:41   00:13:17   9.260  0.594  0.114  0.338  0.324  0.662  29  18  0.002 0.002 0.003 0.002 0.001 0.003   
   97_351   5:56:51   00:13:38   9.783  0.205  0.084  0.124  0.142  0.264  44  27  0.002 0.001 0.005 0.001 0.001 0.002   
   97_284   5:57:39   00:05:09  10.787  1.366  1.098  0.778  0.726  1.504  14   7  0.002 0.004 0.006 0.002 0.001 0.002   
    46056   6:30:33   04:50:58   8.230  0.192 -0.762  0.135  0.149  0.283   3   2  0.010 0.003 0.003 0.003 0.003 0.006   3
