     TPHE_A 00:30:09  -46:31:22  14.651  0.793  0.380  0.435  0.405  0.841  29  12  0.0028 0.0046 0.0071 0.0019 0.0035 0.0032
     TPHE_B 00:30:16  -46:27:55  12.334  0.405  0.156  0.262  0.271  0.535  29  17  0.0115 0.0026 0.0039 0.0020 0.0019 0.0035
     TPHE_C 00:30:17  -46:32:34  14.376 -0.298 -1.217 -0.148 -0.211 -0.360  39  23  0.0022 0.0024 0.0043 0.0038 0.0133 0.0149
     TPHE_D 00:30:18  -46:31:11  13.118  1.551  1.871  0.849  0.810  1.663  37  23  0.0033 0.0030 0.0118 0.0015 0.0023 0.0030
     TPHE_E 00:30:19  -46:24:36  11.630  0.443 -0.103  0.276  0.283  0.564  34   8  0.0017 0.0012 0.0024 0.0007 0.0015 0.0019
     TPHE_F 00:30:50  -46:33:33  12.474  0.855  0.532  0.492  0.435  0.926   5   3  0.0004 0.0058 0.0161 0.0004 0.0040 0.0036
     TPHE_G 00:31:05  -46:22:43  10.442  1.546  1.915  0.934  1.085  2.025   5   3  0.0004 0.0013 0.0036 0.0004 0.0009 0.0009
 PG0029+024 00:31:50  +02:38:26  15.268  0.362 -0.184  0.251  0.337  0.593   5   2  0.0094 0.0174 0.0112 0.0161 0.0125 0.0067
 PG0039+049 00:42:05  +05:09:44  12.877 -0.019 -0.871  0.067  0.097  0.164   4   3  0.0020 0.0030 0.0055 0.0035 0.0055 0.0045
     92_309 00:53:14  +00:46:02  13.842  0.513 -0.024  0.326  0.325  0.652   2   1  0.0035 0.0057 0.0028 0.0014 0.0035 0.0014
     92_235 00:53:16  +00:36:18  10.595  1.638  1.984  0.894  0.911  1.806   5   2  0.0058 0.0045 0.0098 0.0031 0.0045 0.0067
     92_322 00:53:47  +00:47:33  12.676  0.528 -0.002  0.302  0.305  0.608   2   1  0.0007 0.0049 0.0028 0.0014 0.0007 0.0007
     92_245 00:54:16  +00:39:51  13.818  1.418  1.189  0.929  0.907  1.836  21   8  0.0028 0.0079 0.0301 0.0024 0.0024 0.0028
     92_248 00:54:31  +00:40:15  15.346  1.128  1.289  0.690  0.553  1.245   4   2  0.0255 0.0160 0.0955 0.0215 0.0145 0.0175
     92_249 00:54:34  +00:41:05  14.325  0.699  0.240  0.399  0.370  0.770  17   8  0.0049 0.0085 0.0114 0.0046 0.0065 0.0073
     92_250 00:54:37  +00:38:56  13.178  0.814  0.480  0.446  0.394  0.840  20   9  0.0022 0.0034 0.0074 0.0022 0.0022 0.0029
     92_330 00:54:44  +00:43:26  15.073  0.568 -0.115  0.331  0.334  0.666   2   1  0.0141 0.0297 0.0163 0.0304 0.0000 0.0304
     92_252 00:54:48  +00:39:23  14.932  0.517 -0.140  0.326  0.332  0.666  41  18  0.0033 0.0055 0.0082 0.0047 0.0072 0.0068
     92_253 00:54:52  +00:40:20  14.085  1.131  0.955  0.719  0.616  1.337  39  17  0.0032 0.0062 0.0221 0.0027 0.0043 0.0050
     92_335 00:55:00  +00:44:13  12.523  0.672  0.208  0.380  0.338  0.719   2   1  0.0007 0.0028 0.0049 0.0000 0.0014 0.0014
