# ID          V    error(V)  BV  error(BV)  VR  error(VR)
#
# NGC 4147
#
  N4147-6     16.730  0.013  0.773   0.010  0.496   0.011 
  N4147-9     18.308  0.025  0.625   0.031  0.429   0.030 
  N4147-11    16.785  0.009  0.779   0.017  0.472   0.013 
  N4147-12    17.722  0.013  1.107   0.019  0.748   0.010 
  N4147-14    17.358  0.007  0.054   0.007  -0.066  0.015 
  N4147-15    16.734  0.005  0.132   0.013  0.017   0.010 
  N4147-102   18.997  0.052  0.583   0.103  0.366   0.049 
  N4147-103   19.038  0.026  0.571   0.075  0.560   0.053 
  N4147-104   18.558  0.022  1.296   0.027  0.884   0.039 
  N4147-106   19.191  0.061  0.529   0.083  0.392   0.074 
  N4147-107   18.895  0.020  0.600   0.077  0.409   0.034 
  N4147-109   17.575  0.013  0.733   0.017  0.402   0.026 
  N4147-110   18.823  0.027  0.629   0.071  0.488   0.063 
  N4147-111   20.138  0.061  0.346   0.055  0.105   0.070 
  N4147-112   19.842  0.064  0.377   0.081  0.224   0.088 
  N4147-114   18.967  0.013  0.680   0.036  0.330   0.045 
  N4147-115   18.283  0.012  0.664   0.019  0.415   0.014 
  N4147-119   17.457  0.007  0.687   0.017  0.493   0.014 
  N4147-120   15.034  0.009  1.034   0.018  0.618   0.015 
  N4147-121   17.996  0.015  1.436   0.015  0.942   0.024 
  N4147-122   16.381  0.008  0.632   0.013  0.431   0.013 
  N4147-123   19.637  0.032  0.679   0.069  0.262   0.066 
  N4147-124   16.984  0.007  0.479   0.014  0.320   0.007 
  N4147-125   18.857  0.039  0.672   0.029  0.382   0.065 
  N4147-126   18.017  0.032  0.711   0.035  0.441   0.033 
  N4147-127   17.903  0.013  0.655   0.010  0.402   0.019 
  N4147-128   18.589  0.027  0.649   0.067  0.521   0.041 
  N4147-129   17.528  0.031  0.748   0.020  0.427   0.024 
  N4147-130   17.192  0.013  0.014   0.015  -0.059  0.015 
  N4147-131   18.310  0.023  0.663   0.024  0.447   0.029 
  N4147-132   17.572  0.015  0.671   0.016  0.464   0.016 
  N4147-133   17.466  0.012  0.653   0.012  0.443   0.015 
  N4147-134   17.038  0.070  0.247   0.028  0.164   0.037 
  N4147-135   17.287  0.051  -0.093  0.032  -0.062  0.052 
  N4147-136   16.894  0.016  0.683   0.026  0.374   0.015 
  N4147-138   19.300  0.038  0.540   0.095  0.385   0.074 
  N4147-141   16.863  0.012  0.654   0.014  0.438   0.012 
  N4147-142   18.711  0.025  1.416   0.033  0.881   0.021 
  N4147-143   17.640  0.012  0.655   0.032  0.448   0.008 
  N4147-144   16.535  0.007  0.787   0.011  0.492   0.014 
  N4147-145   17.264  0.077  0.312   0.028  0.320   0.030 
  N4147-146   15.917  0.059  0.321   0.030  0.347   0.055 
  N4147-147   15.945  0.016  0.831   0.014  0.523   0.013 
#
# NGC 7006
#
  N7006-1     17.323  0.013  1.102   0.031  0.698   0.025 
  N7006-5     15.756  0.005  1.031   0.011  0.557   0.007 
  N7006-6     17.989  0.014  0.736   0.018  0.461   0.013 
  N7006-7     12.810  0.009  0.474   0.012  0.293   0.005 
  N7006-8     19.483  0.041  0.789   0.043  0.464   0.014 
  N7006-9     19.024  0.040  0.497   0.052  0.241   0.033 
  N7006-12    18.096  0.007  1.042   0.013  0.568   0.011 
  N7006-14    18.920  0.021  0.599   0.040  0.427   0.040 
  N7006-15    18.291  0.013  0.808   0.014  0.472   0.008 
  N7006-16    13.598  0.005  0.591   0.013  0.346   0.004 
  N7006-17    16.485  0.005  0.822   0.011  0.438   0.007 
  N7006-19    15.514  0.011  0.659   0.009  0.360   0.006 
  N7006-24    19.020  0.023  0.491   0.027  0.315   0.027 
  N7006-25    16.472  0.005  1.305   0.005  0.775   0.003 
  N7006-27    18.323  0.006  0.766   0.017  0.428   0.012 
  N7006-29    19.074  0.036  0.724   0.023  0.354   0.013 
  N7006-30    18.838  0.013  0.690   0.022  0.445   0.023 
  N7006-31    16.777  0.005  0.940   0.008  0.541   0.006 
  N7006-33    19.813  0.025  0.897   0.164  0.314   0.050 
  N7006-34    17.924  0.009  0.964   0.015  0.545   0.012 
  N7006-35    18.861  0.014  0.616   0.053  0.350   0.023 
  N7006-36    18.808  0.014  0.618   0.025  0.380   0.010 
  N7006-37    18.866  0.022  0.620   0.039  0.365   0.040 
  N7006-39    16.139  0.010  0.818   0.010  0.444   0.007 
  N7006-40    18.883  0.010  0.537   0.053  0.327   0.035 
  N7006-41    18.950  0.022  0.617   0.031  0.423   0.017 
  N7006-42    18.617  0.015  1.007   0.036  0.631   0.022 
  N7006-43    18.455  0.010  0.866   0.023  0.505   0.022 
  N7006-44    18.873  0.022  0.454   0.030  0.296   0.021 
  N7006-46    19.298  0.023  0.716   0.044  0.351   0.058 
  N7006-48    19.676  0.021  0.999   0.036  0.520   0.033 
