# ID          V   error(V)  UB error(UB)  BV error(BV)  VR error(VR)  RI error(RI)
#
M67-81        10.024 0.011  -0.388 0.010  -0.080 0.015  -0.040 0.011  -0.028 0.011
M67-105       10.302 0.011   1.318 0.015   1.266 0.009   0.650 0.010   0.580 0.010
M67-106       13.095 0.007   0.060 0.028   0.562 0.017   0.338 0.016   0.332 0.007
M67-108        9.711 0.015   1.539 0.005   1.370 0.014   0.707 0.017   0.644 0.011
M67-111       12.730 0.010   0.051 0.009   0.560 0.007   0.319 0.009   0.318 0.011
M67-117       12.625 0.015   0.278 0.005   0.784 0.015   0.466 0.005   0.438 0.006
M67-124       12.119 0.028   0.043 0.038   0.457 0.007   0.280 0.010   0.278 0.003
M67-127       12.776 0.020   0.064 0.011   0.552 0.013   0.322 0.016   0.328 0.007
M67-128       13.162 0.010   0.045 0.017   0.569 0.014   0.338 0.014   0.310 0.030
M67-129       13.189 0.022   0.075 0.019   0.574 0.020   0.341 0.014   0.348 0.024
M67-130       12.894 0.023   0.029 0.033   0.448 0.019   0.283 0.017   0.292 0.010
M67-132       13.107 0.010   0.063 0.015   0.606 0.009   0.347 0.015   0.343 0.018
M67-134       12.262 0.019   0.065 0.021   0.580 0.007   0.334 0.010   0.325 0.023
M67-135       11.445 0.012   0.913 0.010   1.060 0.010   0.556 0.004   0.499 0.011
M67-141       10.476 0.015   1.010 0.020   1.106 0.009   0.570 0.014   0.520 0.010
M67-149       12.562 0.013   0.071 0.030   0.606 0.009   0.341 0.001   0.331 0.010
M67-170        9.678 0.011   1.483 0.009   1.355 0.005   0.697 0.006   0.628 0.004
M67-I-9       13.209 0.012   0.048 0.010   0.569 0.009   0.329 0.002   0.323 0.004
M67-I-51      14.160 0.029   0.070 0.020   0.600 0.020   0.326 0.010   0.291 0.013
M92-A         14.036 0.010   0.325 0.029   0.798 0.026   0.516 0.014   0.417 0.014
M92-B         16.791 0.023  -0.132 0.017   0.636 0.015   0.403 0.006   0.368 0.043
M92-C         17.542 0.015  -0.254 0.039   0.550 0.017   0.357 0.017   0.323 0.020
M92-IX-2      14.694 0.019   0.093 0.017   0.788 0.033   0.485 0.017   0.454 0.018
M92-IX-5      13.078 0.012   0.020 0.008   0.612 0.016   0.257 0.060   0.421 0.119
M92-IX-6      14.579 0.014   0.109 0.025   0.800 0.021   0.485 0.009   0.461 0.033
M92-IX-8      16.331 0.021  -0.442 0.012  -0.112 0.018  -0.038 0.010  -0.085 0.005
M92-IX-9      16.052 0.009  -0.111 0.013   0.534 0.016   0.313 0.008   0.277 0.005
M92-IX-10     14.618 0.014   0.111 0.018   0.783 0.019   0.486 0.014   0.464 0.035
M92-IX-13     14.475 0.001  -0.015 0.044   0.567 0.028   0.403 0.016   0.362 0.030
M92-IX-25     15.932 0.021  -0.079 0.009   0.574 0.030   0.351 0.015   0.302 0.019
M92-IX-26     16.437 0.020  -0.478 0.004  -0.112 0.016  -0.041 0.010  -0.086 0.020
M92-IX-31     15.146 0.023   0.844 0.030   1.025 0.018   0.630 0.020   0.522 0.019
M92-IX-34     15.982 0.027  -0.026 0.014   0.637 0.072   0.433 0.013   0.411 0.013
M92-IX-100    16.986 0.010   1.124 0.044   1.146 0.012   0.722 0.008   0.589 0.029
M92-X-9       15.078 0.018   0.067 0.033   0.589 0.022   0.360 0.015   0.321 0.019
M92-X-10      14.311 0.011   0.068 0.005   0.590 0.030   0.372 0.006   0.289 0.001
N2264-A       15.765 0.001   0.714 0.020   1.092 0.020   0.598 0.020   0.689 0.020
N2264-B       17.101 0.011   0.781 0.020   1.206 0.020   0.700 0.021   0.783 0.004
N2264-239     17.635 0.008   0.435 0.001   1.326 0.001   0.776 0.001   0.826 0.001
N2264-245     18.238 0.037   0.428 0.030   1.065 0.030   0.674 0.035   0.774 0.016
N2264-252     17.623 0.001   0.808 0.001   1.200 0.001   0.671 0.018   0.778 0.003
N2419-P       15.514 0.023   INDEF INDEF   0.582 0.019   0.332 0.016   0.350 0.012
N2419-I       13.759 0.014   INDEF INDEF   0.673 0.008   0.385 0.007   0.387 INDEF 
N2419-Z       17.054 0.014   INDEF INDEF   1.269 0.035   0.803 0.007   0.734 0.017
N2419-A-II-55 17.528 0.028   INDEF INDEF   0.599 INDEF   0.403 0.014   0.292 0.030
N2419-A-II-73 18.250 0.189   INDEF INDEF   0.666 0.158   0.375 0.017   0.115 0.049
N2419-A-II-89 17.552 0.170   INDEF INDEF   0.813 0.161   0.408 0.030   0.430 0.061
N2419-B-II-11 16.836 0.015   INDEF INDEF   0.537 0.028   0.328 0.023   0.335 0.027
N4147-6       16.773 0.017   0.199 0.038   0.828 0.017   0.477 0.014   0.475 0.011
N4147-11      16.824 0.022   0.193 0.041   0.807 0.022   0.476 0.020   0.468 0.031
N4147-12      17.663 0.025   0.976 0.090   1.156 0.022   0.700 0.022   0.601 0.017
N4147-14      17.410 0.023  -0.059 0.026  -0.008 0.012   0.007 0.033  -0.015 0.032
N4147-15      16.780 0.027   0.121 0.012   0.103 0.018   0.083 0.024   0.083 0.028
N4147-119     17.464 0.019   0.079 0.081   0.752 0.014   0.452 0.017   0.446 0.019
N4147-120     15.081 0.018   0.720 0.018   1.066 0.008   0.558 0.045   0.605 0.026
N4147-122     16.424 0.020  -0.093 0.022   0.675 0.030   0.423 0.022   0.427 0.010
N4147-124     16.989 0.009  -0.206 0.031   0.488 0.029   0.323 0.021   0.343 0.014
N4147-141     16.891 0.018   0.102 0.047   0.713 0.025   0.409 0.022   0.388 0.014
N7006-II-4    16.586 0.010   0.979 0.009   1.269 0.021   0.670 0.016   0.690 0.010
N7006-II-6    17.506 0.019   0.541 0.075   1.019 0.018   0.558 0.003   0.606 0.010
N7006-II-28   16.798 0.014   0.806 0.187   1.210 0.024   0.659 0.010   0.655 0.010
N7006-III-1   16.480 0.018   1.210 0.049   1.280 0.026   0.783 0.018   0.711 0.020
N7006-III-5   16.767 0.014   0.569 0.025   0.938 0.010   0.549 0.008   0.516 0.010
N7006-III-7   17.910 0.007   0.456 0.063   0.971 0.029   0.524 0.003   0.567 0.010
N7006-III-17  16.141 0.018   0.367 0.051   0.835 0.014   0.450 0.011   0.444 0.010
N7006-III-31  13.889 0.017   INDEF INDEF   0.836 0.030   0.450 0.032   0.417 0.001
N7006-III-32  14.000 0.014   INDEF INDEF   1.100 0.037   0.583 0.031   0.572 0.001
N7790-36      14.525 0.026   0.016 0.001   0.514 0.018   0.289 0.004   0.384 0.004
N7790-37      14.722 0.028   0.047 0.004   0.494 0.011   0.283 0.001   0.375 0.001
N7790-51      14.389 0.023  -0.007 0.007   0.461 0.009   0.249 0.003   0.345 0.003
N7790-58      15.315 0.015   0.291 0.040   0.646 0.031   0.339 0.002   0.445 0.010
N7790-59      15.924 0.010   0.299 0.035   0.619 0.028   0.311 0.007   0.421 0.005
N7790-65      15.950 0.013   0.403 0.004   0.795 0.015   0.413 0.006   0.516 0.006
N7790-72      14.231 0.022  -0.340 0.040   0.595 0.008   0.330 0.007   0.432 0.007
N7790-77      15.954 0.011   0.344 0.037   0.772 0.032   0.421 0.011   0.547 0.005
N7790-80      15.585 0.004   0.260 0.036   0.599 0.027   0.299 0.011   0.405 0.007
N7790-88      15.753 0.009   0.445 0.040   1.047 0.022   0.567 0.011   0.590 0.031
N7790-95      15.778 0.012   0.295 0.025   0.643 0.022   0.328 0.008   0.488 0.009
N7790-96      15.745 0.006   0.338 0.023   0.761 0.027   0.399 0.009   0.517 0.004
N7790-98      14.149 0.021   0.204 0.016   0.836 0.001   0.465 0.004   0.503 0.001
N7790-104     15.216 0.006   0.169 0.020   0.592 0.024   0.299 0.002   0.409 0.002
N7790-113     14.862 0.011  -0.027 0.007   0.541 0.007   0.294 0.001   0.381 0.001
N7790-C-25    15.503 0.010   0.102 0.029   0.706 0.022   0.399 0.012   0.499 0.001
