      FS01 12.967  0.021  0.462  0.011  0.081  0.012
      FS02 10.466  0.003  0.247  0.003  0.038  0.003
      FS03 12.822  0.007 -0.222  0.011 -0.097  0.007
      FS04 10.264  0.005  0.292  0.003  0.040  0.007
      FS05 12.342  0.006 -0.007  0.004 -0.002  0.004
      FS06 13.374  0.015 -0.135  0.014 -0.069  0.012
      FS07 10.940  0.005  0.165  0.012  0.037  0.010
      FS08  8.313  0.006  0.766  0.002  0.129  0.004
      FS09  8.266  0.006  0.884  0.003  0.158  0.005
      FS10 14.919  0.072 -0.170  0.077 -0.049  0.060
      FS11 11.278  0.018  0.076  0.025  0.016  0.019
      FS12 13.898  0.003 -0.217  0.014 -0.091  0.018
      FS13 10.135  0.003  0.382  0.002  0.047  0.005
      FS14 14.261  0.012 -0.153  0.005 -0.079  0.020
      FS15 12.360  0.021  0.418  0.008  0.060  0.007
      FS16 12.631  0.008  0.340  0.006  0.038  0.005
      FS17 12.270  0.007  0.411  0.007  0.073  0.003
      FS18 10.522  0.008  0.292  0.003  0.031  0.003
      FS19 13.796  0.025 -0.231  0.021 -0.142  0.047
      FS20 13.473  0.017 -0.120  0.015 -0.069  0.012
      FS21 13.132  0.004 -0.184  0.033 -0.101  0.037
      FS33 14.240  0.016 -0.223  0.010 -0.078  0.024
      FS23 12.374  0.001  0.623  0.004  0.072  0.018
      FS24 10.753  0.008  0.151  0.006  0.019  0.004
      FS25  9.756  0.017  0.475  0.003  0.070  0.005
      FS26  7.972  0.009  0.858  0.004  0.155  0.006
      FS27 13.123  0.018  0.371  0.013  0.058  0.014
      FS28 10.597  0.016  0.148  0.010  0.047  0.005
      FS35 11.757  0.017  0.474  0.008  0.089  0.005
      FS34 12.989  0.011 -0.170  0.008 -0.070  0.009
      FS29 13.346  0.024 -0.171  0.011 -0.075  0.012
      FS30 12.015  0.020 -0.092  0.013 -0.036  0.005
      FS31 14.039  0.010 -0.241  0.020 -0.120  0.017
      FS32 13.664  0.012 -0.205  0.022 -0.088  0.015
