# units Angstroms
11081.9 10   
11109.5 3   
11396.8 8   
11445. 12   
11470.7 6   
11491.2 120   
11583.5 1   
11671.9 200   
11690.8 1   
11722.7 10   
11736.4 9   
11887.7 4   
11899.9 1   
11946.6 12   
11947.1 B   
12029.9 2   
12115.6 150   
12143. 30   
12154.7 2   
12346.8 30   
12359.7 10   
12406.2 100   
12442.7 300   
12459.5 100   
12491.1 200   
12557.7 2   
12625.1 2   
12705.7 100   
12736.9 30   
12749.7 12   
12806.2 200   
12936.7 40   
12960.2 500   
13011.8 200   
13032. 2   
13217.6 200   
13231.7 200   
13234.5 200   
13276.3 500   
13305.9 4   
13316.8 800   
13333.8 6   
13370.8 1000   
13410.2 100   
13503.1 30   
13507.9 1000   
13547.9 8   
13577.3 12   
13603. 40   
13626.4 400   
13682.3 200   
13722.3 1000   
13829.5 B   
13832.1 9   
13911.3 8   
13914.4 50   
14097.5 150   
14253.1 8   
14260.8 13   
14599.7 11   
14600.5 B   
14638.4 30   
14654.3 30   
14697.4 4   
14743.2 5   
15050.6 100   
15176.8 25   
15306.1 40   
15333.5 9   
15353. 7   
15357.3 3   
15406.8 6   
15904. 10   
15993.9 25   
16127.1 1   
16184.4 4   
16441.1 13   
16524.4 30   
16553.8 8   
16744.6 9   
16945.2 500   
17449.7 11   
17450. B   
17828.9 5   
17919.6 40   
18423.2 2   
18432.8 10   
18433.4 B   
18434.5 B   
19822.9 5   
19971.2 4   
20322.6 2   
20621.9 50   
20652.8 2   
20739.3 2   
20741. B   
20816.7 2   
20991.8 30   
21338.7 1   
21540.1 8   
22045.6 1   
22083.2 8   
23139.5 20   
23851.5 1   
23973.1 20   
25132.1 25   
25491.6 3   
25512.2 8   
25668. 10   
26843. 4   
26917.1 40   
27233. 3   
28202.4 30   
28246. 30   
28321.8 25   
28435. 1   
28538.4 3   
28620.2 200   
28697.9 50   
28712.8 5   
28782.9 500   
28843.1 100   
28989.2 2   
29108.5 3   
29134.8 50   
29262.9 4   
29280.7 20   
29566.3 3   
29796.8 250   
30462.1 4   
30552.8 2   
30996.2 10   
31333. 100   
31727.3 5   
32256.3 3   
32305.9 1   
32333.9 5   
32888.6 4   
33078.8 15   
33148.4 15   
33293.4 10   
34960.5 1   
36220.9 8   
36312.4 3   
36390.5 2   
36395. 2   
36492. 10   
37013.6 2   
37085.9 5   
37143.5 3   
37186.2 1   
37261.2 2   
38120.7 3   
38331.2 1   
39664.3 1   
39670.7 1   
40080.4 2   
40164.8 1   
40169.7 1   
40433.1 3   
