# units Angstroms
10877.9 80   
11190.2 100   
11260.8 200   
11262.2 150   
11460.6 500   
11795.6 150   
11822.6 1500   
12000.4 600   
12080.5 160   
12121.1 140   
12126.8 40   
12207.9 800   
12785.9 150   
12801.9 120   
12865.4 100   
12882.4 750   
12988.8 25   
13025.9 30   
13181. 1100   
13244.3 110   
13341.5 120   
13626.1 1000   
13637.9 2400   
13662.1 800   
13714.8 200   
13742.6 600   
13836.6 150   
13886.6 500   
13927.6 700   
13942.7 200   
13977.8 150   
14108.1 140   
14160.1 50   
14344.5 30   
14351.3 800   
14406.2 180   
14430.7 2000   
14473. 140   
14738.5 1600   
14766.7 550   
14769.5 450   
14966. 400   
15009.4 120   
15213.7 140   
15243.8 1700   
15330.7 130   
15339.2 1500   
15376.2 700   
15478.2 200   
15639.7 40   
15685.3 180   
15824.4 120   
15895.1 100   
16319.6 50   
16470.3 70   
16577.5 70   
16731.1 200   
16789.7 2000   
16858.1 1000   
16895.1 2400   
16901.4 1600   
16940.4 1800   
17074.6 40   
17103.4 600   
17235.4 30   
17372.4 700   
17409.2 120   
17621.6 150   
17847.6 650   
18007.1 700   
18104.3 80   
18172.3 2600   
18190. 90   
18423.4 20   
18586. 150   
18701.5 300   
18790.1 170   
18792.9 50   
18802.8 200   
20215.3 140   
20429.5 300   
21171.3 600   
21908.5 1800   
22491.8 120   
23346.7 180   
23508.8 70   
24267.2 120   
24298.8 180   
24775.2 90   
25240.7 600   
26768.4 50   
26907.6 40   
28618.2 180   
28663.3 1000   
28777.4 150   
28830.2 140   
29227.4 40   
29244.5 300   
30671.8 300   
30987.5 300   
39294.5 50   
39568. 40   
39599.2 500   
39600.4 500   
39965.7 60   
39977.5 30   
40317.1 130   
40696.5 20   
