# units Angstroms
10831.2 0.40
10899.3 0.10
10927.3 0.24
10952.3 0.10
10976.3 0.35
11010.3 0.10
11030.3 0.28
11073.3 0.05
11090.3 0.15
11141.3 0.02
11156.3 0.05
11313.4 0.12
11331.4 0.15
11354.4 0.10
11436.4 0.40
11539.5 0.32
11566.5 0.02
11592.5 0.35
11628.5 0.12
11651.5 0.30
11696.5 0.08
11716.5 0.20
11771.5 0.04
11787.5 0.08
11864.6 0.02
12001.6 0.12
12007.6 0.20
12025.6 0.18
12031.6 0.24
12055.9 0.07
12122.6 0.54
12135.9 0.20
12155.0 0.05
12196.4 0.11
12229.3 0.40
12257.8 0.18
12287.0 0.46
12325.9 0.17
12351.6 0.30
12400.9 0.11
12423.0 0.19
12482.7 0.04
12502.4 0.09
12589.1 0.05
12752.8 0.15
12764.4 0.21
12782.5 0.24
12807.0 0.23
12834.6 0.08
12905.7 0.57
12921.2 0.17
12943.1 0.09
12985.7 0.15
13021.6 0.32
13052.8 0.21
13085.2 0.39
13127.8 0.18
13156.7 0.19
13211.0 0.10
13236.6 0.27
13301.9 0.01
13324.7 0.04
13420.8 0.06
13674.9
13677.2
13692.1
13716.8
13823.7
13951.0
13985.9 0.05
14022.2 0.15
14044.6
14058.8
14069.8
14086.7 0.10
14102.7 0.05
14107.0 0.05
14134.0 0.18
14162.9 0.22
14186.1 0.20
14192.9
14227.2
14292.9 0.07
14342.0 
14344.4 0.30
14356.7
14374.4
14469.1
14519.0 0.60
14564.0 0.35
14604.8 0.35
14665.1 0.14
14698.4 0.35
14702.2
14713.3
14740.0 0.10
14755.6 0.05
14772.4 0.15
14783.7 0.15
14799.8 0.30
14805.7 0.26
14833.0 0.62
14864.4 0.20
14886.2
14887.7 0.78
14909.1 0.10
14931.9 0.26
15006.7
15026.1
15052.8
15055.5 1.95
15064.0
15068.9 0.66
15088.2 0.23
15113.7 0.10
15187.0 0.38
15241.0 1.41
15287.8 0.58
15332.4 1.15
15395.3 0.40
15432.1 1.08
15462.1 0.10
15474.4
15500.8 0.20
15509.8 0.25
15517.9 0.20
15540.4 0.55
15546.2
15570.2 0.15
15597.7 0.70
15631.3 
15631.6 0.35
15655.0 1.05
15657.0 
15702.5 0.28
15760.3 0.10
15782.1 0.15
15830.3
15833.2 2.30
15848.1 0.90
15869.3 0.25
15897.3 0.10
15915.9
15972.6 0.50
16030.8 1.53
16079.8 0.65
16128.6 1.71
16194.7 0.63
16235.4 1.27
16317.2 0.28
16341.8 0.12
16351.3 0.65
16360.4 0.10
16388.5 0.25
16414.7 0.20
16442.1
16447.6 0.70
16476.4
16479.0 0.50
16502.3 0.75
16553.9 0.30
16586.3
16611.0 0.10
16689.2
16692.1 2.30
16708.8 0.83
16732.5 0.30
16763.6 0.15
16840.5 0.30
16903.7 1.45
16955.1 0.52
17008.8 1.80
17078.3 0.70
17123.6 1.20
17210.4 0.36
17248.6 0.70
17282.9 0.18
17330.9 0.32
17351.1 0.20
17359.7 0.20
17383.8 0.40
17386.7 0.40
17427.0 0.30
17449.9 0.72
17501.3 0.27
17506.0 0.08
17529.4 0.08
17653.2 2.00
17671.8 0.70
17698.4 0.18
17811.4 0.08
17880.3 1.20
17934.8 0.05
17994.0 1.42
18067.9 0.18
18118.5 0.50
18211.0
18254.2 0.05
18352.8
18364.6
18400.4
18401.7
18402.3
18433.5
18459.5
18504.1
18526.1
18560.2
18587.4
18744.5
18765.9
18914.9
18990.1
19048.4
19114.1
19193.2
19250.3 0.32
19350.1 0.25
19399.2
19518.1 0.15
19561.1 0.12
19593.2 0.05
19642.5 0.30
19699.0 0.15
19702.9 0.35
19736.2 0.05
19751.5 0.20
19771.8 0.52
19839.7 0.22
20008.2 1.05
20033.2 0.35
20193.3 0.15
20275.9 1.00
20339.5 0.55
20412.7 1.28
20499.3 0.27
20563.6 1.05
20672.9 0.03
20729.0 0.77
20860.3 0.20
20909.6 0.33
21068.0 0.22
21096.6
21105.7
21115.9 0.24
21156.1 0.12
21176.6 0.38
21232.5 0.15
21249.7 0.41
21279.1 0.05
21318.0
21326.0 0.16
21505.0
21507.3 1.20
21512.1
21537.6 0.30
21580.7 0.15
21711.1 0.25
21802.2 0.70
21873.5 0.35
21955.6 0.90
22125.5 0.80
22247.9 0.28
22312.7 0.50
22460.3 0.10
22518.0 0.25
22742.0 0.15
