# units Angstroms
10530.8  120
10709.7   50
10841.3 1000
10898.3  120
11088.3  300
11130.2   40
11144.2   20
11617.3   50
11745.5  300
11796.8  150
11860.5  160
11956.4   40
12088.1   60
12238.6  200
12261.1   20
12593.7  150
12626.8 2500
13547.8  120
13660.8 3000
14146.2 2000
14244.8  600
14368.8  200
14664.8   50
14736.8 5000
15103.9   20
15422.6 2000
15561.4   50
15983.9  150
16044.2   50
16057.7  500
16559.0   30
16732.6 2000
17330.5 1500
18793.2  500
20192.6   80
20267.8 2000
21378.9   20
21475.9  300
22412.8   60
22624.4   10
23199.6 1500
23286.0   50
24450.4  100
24709.1   60
24831.4 5500
25152.8  200
25166.3   70
26027.6   20
26276.1 3500
26518.2 4500
28389.1  300
28590.1 1000
29392.3  300
29456.2   80
29657.5   20
29821.6   10
30261.3 1000
30483.9 2000
30512.6   20
30802.5  800
31077.6 9900
31284.3   10
31344.6   90
31616.7  800
32310.9   10
32747.9 2000
33274.7   10
33675.7 7000
34023.8  150
34084.2   80
34344.6 1000
34753.7  150
35080.0 5000
36219.2   90
36241.8   30
36518.5  500
36798.4  800
36858.6   80
38696.9   10
38737.7   30
38748.6   20
38878.8   70
38950.4  300
38959.7  150
38973.1  120
39483.9   70
39529.9   50
39965.7  200
