# The default for the spectral type given Teff should be last.

# Type    Teff     V      J      H      K      L   Lprime    M

  O9I    32500   0.00   0.64   0.69   0.82   0.85  INDEF  INDEF
  B0I    26000   0.00   0.55   0.59   0.69   0.76  INDEF  INDEF
  B1I    20700   0.00   0.46   0.49   0.55   0.62  INDEF  INDEF
  B2I    17800   0.00   0.36   0.40   0.40   0.47  INDEF  INDEF
  B3I    15600   0.00   0.28   0.31   0.28   0.33  INDEF  INDEF
  B4I    13900   0.00   0.20   0.21   0.20   0.21  INDEF  INDEF
  B5I    13400   0.00   0.14   0.13   0.13   0.11  INDEF  INDEF
  B6I    12700   0.00   0.09   0.05   0.07   0.04  INDEF  INDEF
  B7I    12000   0.00   0.03  -0.03  -0.01  -0.05  INDEF  INDEF
  B8I    11200   0.00  -0.02  -0.09  -0.07  -0.12  INDEF  INDEF
  B9I    10500   0.00  -0.07  -0.15  -0.13  -0.19  INDEF  INDEF
  A0I     9730   0.00  -0.12  -0.21  -0.19  -0.26  INDEF  INDEF
  A1I     9230   0.00  -0.16  -0.27  -0.26  -0.33  INDEF  INDEF
  A2I     9080   0.00  -0.21  -0.33  -0.32  -0.40  INDEF  INDEF
  A3I     8800   0.00  -0.27  -0.39  -0.39  -0.46  INDEF  INDEF
  A4I     8620   0.00  -0.30  -0.43  -0.44  -0.51  INDEF  INDEF
  A5I     8510   0.00  -0.33  -0.46  -0.48  -0.55  INDEF  INDEF
  A6I     8350   0.00  -0.34  -0.47  -0.49  -0.56  INDEF  INDEF
  A7I     8210   0.00  -0.35  -0.49  -0.51  -0.57  INDEF  INDEF
  A8I     8050   0.00  -0.36  -0.50  -0.53  -0.59  INDEF  INDEF
  A9I     7855   0.00  -0.38  -0.52  -0.56  -0.62  INDEF  INDEF
  F0I     7700   0.00  -0.45  -0.60  -0.64  -0.70  INDEF  INDEF
  F1I     7445   0.00  -0.44  -0.59  -0.64  -0.70  INDEF  INDEF
  F2I     7170   0.00  -0.52  -0.70  -0.75  -0.81  INDEF  INDEF
  F3I     7025   0.00  -0.55  -0.74  -0.79  -0.86  INDEF  INDEF
  F4I     6825   0.00  -0.63  -0.84  -0.89  -0.96  INDEF  INDEF
  F5I     6640   0.00  -0.65  -0.87  -0.93  -1.00  INDEF  INDEF
  F6I     6435   0.00  -0.79  -1.05  -1.11  -1.18  INDEF  INDEF
  F7I     6235   0.00  -0.87  -1.15  -1.22  -1.29  INDEF  INDEF
  F8I     6100   0.00  -0.86  -1.14  -1.21  -1.28  INDEF  INDEF
  F9I     5815   0.00  -0.99  -1.31  -1.38  -1.46  INDEF  INDEF
  G0I     5510   0.00  -1.03  -1.36  -1.44  -1.52  INDEF  INDEF
  G1I     5365   0.00  -1.05  -1.39  -1.47  -1.55  INDEF  INDEF
  G2I     5155   0.00  -1.06  -1.41  -1.49  -1.57  INDEF  INDEF
  G3I     4980   0.00  -1.20  -1.58  -1.67  -1.75  INDEF  INDEF
  G4I     4820   0.00  -1.08  -1.44  -1.54  -1.61  INDEF  INDEF
  G5I     4710   0.00  -1.11  -1.48  -1.58  -1.66  INDEF  INDEF
  G6I     4635   0.00  -1.16  -1.54  -1.65  -1.72  INDEF  INDEF
  G7I     4585   0.00  -1.24  -1.64  -1.75  -1.83  INDEF  INDEF
  G8I     4590   0.00  -1.45  -1.88  -1.99  -2.08  INDEF  INDEF
  G9I     4505   0.00  -1.48  -1.93  -2.05  -2.14  INDEF  INDEF
  K0I     4420   0.00  -1.57  -2.03  -2.15  -2.25  INDEF  INDEF
  K1I     4330   0.00  -1.66  -2.15  -2.28  -2.39  INDEF  INDEF
  K2I     4260   0.00  -1.78  -2.30  -2.43  -2.55  INDEF  INDEF
  K3I     4130   0.00  -2.18  -2.77  -2.90  -3.05  INDEF  INDEF
  K4I     3990   0.00  -2.28  -2.89  -3.03  -3.19  INDEF  INDEF
  K5I     3850   0.00  -2.69  -3.36  -3.50  -3.68  INDEF  INDEF
  K6I     3765   0.00  -2.54  -3.21  -3.36  -3.54  INDEF  INDEF
  K7I     3695   0.00  -2.67  -3.36  -3.53  -3.72  INDEF  INDEF
  M0I     3650   0.00  -2.89  -3.62  -3.80  -4.00  INDEF  INDEF
  M1I     3550   0.00  -2.97  -3.70  -3.90  -4.12  INDEF  INDEF
  M2I     3450   0.00  -3.15  -3.88  -4.10  -4.34  INDEF  INDEF
  M3I     3200   0.00  -3.62  -4.36  -4.60  -4.86  INDEF  INDEF
  M4I     2980   0.00  -4.16  -4.94  -5.20  -5.48  INDEF  INDEF

  G0III   5910   0.00  -1.31  -1.68  -1.75  -1.79  -1.80  -1.75
  G1III   5600   0.00  -1.35  -1.73  -1.80  -1.85  -1.86  -1.79
  G2III   5405   0.00  -1.41  -1.81  -1.88  -1.93  -1.94  -1.87
  G3III   5280   0.00  -1.46  -1.90  -1.97  -2.02  -2.03  -1.96
  G4III   5190   0.00  -1.50  -1.97  -2.05  -2.10  -2.11  -2.04
  G5III   5115   0.00  -1.53  -2.02  -2.11  -2.16  -2.17  -2.10
  G6III   5050   0.00  -1.56  -2.06  -2.15  -2.21  -2.22  -2.13
  G7III   5000   0.00  -1.57  -2.07  -2.17  -2.22  -2.23  -2.15
  G8III   4960   0.00  -1.57  -2.07  -2.16  -2.22  -2.23  -2.14
  G9III   4900   0.00  -1.60  -2.11  -2.20  -2.27  -2.28  -2.17
  K0III   4810   0.00  -1.67  -2.21  -2.31  -2.38  -2.39  -2.28
  K1III   4620   0.00  -1.82  -2.40  -2.50  -2.58  -2.59  -2.46
  K2III   4500   0.00  -1.95  -2.58  -2.70  -2.79  -2.80  -2.65
  K3III   4320   0.00  -2.18  -2.86  -3.00  -3.10  -3.12  -2.94
  K4III   4080   0.00  -2.38  -3.11  -3.26  -3.37  -3.40  -3.19
  K5III   3980   0.00  -2.64  -3.43  -3.60  -3.72  -3.76  -3.52
  K6III   3910   0.00  -2.70  -3.50  -3.68  -3.80  -3.84  -3.60
  K7III   3855   0.00  -2.81  -3.62  -3.81  -3.93  -3.98  -3.72
  M0III   3820   0.00  -2.83  -3.66  -3.85  -3.97  -4.02  -3.76
  M1III   3780   0.00  -2.99  -3.84  -4.05  -4.18  -4.22  -3.95
  M2III   3710   0.00  -3.21  -4.08  -4.30  -4.45  -4.49  -4.18
  M3III   3630   0.00  -3.50  -4.40  -4.64  -4.81  -4.84  -4.51
  M4III   3560   0.00  -3.92  -4.85  -5.10  -5.28  -5.31  -4.96
  M5III   3420   0.00  -4.72  -5.67  -5.96  -6.16  -6.18  -5.81
  M6III   3250   0.00  -5.58  -6.54  -6.84  INDEF  INDEF  INDEF

  O9V    35900   0.00   0.69   0.83   0.87   0.93  INDEF  INDEF
  B0V    31500   0.00   0.67   0.79   0.83   0.89  INDEF  INDEF
  B1V    25600   0.00   0.61   0.71   0.74   0.79  INDEF  INDEF
  B2V    22300   0.00   0.54   0.63   0.66   0.71  INDEF  INDEF
  B3V    19000   0.00   0.46   0.54   0.56   0.61  INDEF  INDEF
  B4V    17200   0.00   0.40   0.47   0.49   0.54  INDEF  INDEF
  B5V    15400   0.00   0.35   0.41   0.42   0.46  INDEF  INDEF
  B6V    14100   0.00   0.30   0.35   0.36   0.40  INDEF  INDEF
  B7V    13000   0.00   0.25   0.28   0.29   0.33  INDEF  INDEF
  B8V    11800   0.00   0.21   0.24   0.24   0.28  INDEF  INDEF
  B9V    10700   0.00   0.12   0.13   0.13   0.16  INDEF  INDEF
  A0V     9480   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  A1V     9005   0.00  -0.04  -0.05  -0.06  -0.05  -0.06  -0.06
  A2V     8810   0.00  -0.11  -0.13  -0.14  -0.15  -0.15  -0.15
  A3V     8545   0.00  -0.19  -0.23  -0.24  -0.26  -0.25  -0.26
  A4V     8430   0.00  -0.25  -0.30  -0.32  -0.34  -0.33  -0.34
  A5V     8160   0.00  -0.30  -0.36  -0.38  -0.40  -0.40  -0.41
  A6V     8075   0.00  -0.35  -0.43  -0.45  -0.48  -0.47  -0.48
  A7V     7930   0.00  -0.38  -0.47  -0.50  -0.53  -0.53  -0.53
  A8V     7575   0.00  -0.43  -0.53  -0.56  -0.59  -0.59  -0.59
  A9V     7310   0.00  -0.47  -0.59  -0.62  -0.64  -0.65  -0.65
  F0V     7020   0.00  -0.54  -0.67  -0.70  -0.73  -0.73  -0.73
  F1V     6870   0.00  -0.56  -0.71  -0.74  -0.77  -0.77  -0.77
  F2V     6750   0.00  -0.61  -0.78  -0.82  -0.85  -0.85  -0.85
  F3V     6650   0.00  -0.69  -0.88  -0.92  -0.96  -0.95  -0.95
  F4V     6605   0.00  -0.77  -0.99  -1.03  -1.06  -1.06  -1.05
  F5V     6530   0.00  -0.83  -1.06  -1.10  -1.14  -1.14  -1.12
  F6V     6405   0.00  -0.92  -1.18  -1.22  -1.26  -1.26  -1.24
  F7V     6240   0.00  -0.98  -1.27  -1.32  -1.36  -1.36  -1.34
  F8V     6090   0.00  -1.00  -1.30  -1.34  -1.39  -1.39  -1.36
  F9V     5990   0.00  -1.02  -1.33  -1.38  -1.43  -1.43  -1.39
  G0V     5930   0.00  -1.05  -1.36  -1.41  -1.46  -1.46  -1.42
  G1V     5880   0.00  -1.06  -1.38  -1.43  -1.48  -1.48  -1.45
  G2V     5830   0.00  -1.09  -1.41  -1.46  -1.51  -1.51  -1.47
